[12-Jan-2023 10:21:17 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-11 in /var/www/html/erpm/View/calcRange.php on line 583
[12-Jan-2023 10:21:17 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-11 in /var/www/html/erpm/View/calcRange.php on line 932
[12-Jan-2023 10:21:17 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-11 in /var/www/html/erpm/View/calcRange.php on line 1225
[12-Jan-2023 10:21:17 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[12-Jan-2023 10:21:27 Asia/Kolkata] PHP Notice:  Undefined variable: locationdir in /var/www/html/erpm/View/EmployeInfo.php on line 160
[12-Jan-2023 10:21:28 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[12-Jan-2023 10:21:28 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[12-Jan-2023 10:21:28 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[12-Jan-2023 10:21:40 Asia/Kolkata] PHP Notice:  Undefined index: action in /var/www/html/erpm/Controller/getFilterData.php on line 6
[12-Jan-2023 10:21:40 Asia/Kolkata] PHP Notice:  Undefined index: location_id in /var/www/html/erpm/Controller/getFilterData.php on line 63
[12-Jan-2023 10:21:40 Asia/Kolkata] PHP Notice:  Undefined index: clientid in /var/www/html/erpm/Controller/getFilterData.php on line 86
[12-Jan-2023 10:21:52 Asia/Kolkata] PHP Notice:  Undefined index: req in /var/www/html/erpm/View/add_leave.php on line 412
[12-Jan-2023 10:21:52 Asia/Kolkata] PHP Notice:  Undefined index: req in /var/www/html/erpm/View/add_leave.php on line 416
[12-Jan-2023 10:21:52 Asia/Kolkata] PHP Notice:  Undefined variable: leave_Level in /var/www/html/erpm/View/add_leave.php on line 904
[12-Jan-2023 10:22:01 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 306
[12-Jan-2023 10:22:01 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 328
[12-Jan-2023 10:22:11 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /var/www/html/erpm/View/revenue_master.php:50
Stack trace:
#0 {main}
  thrown in /var/www/html/erpm/View/revenue_master.php on line 50
[12-Jan-2023 10:25:21 Asia/Kolkata] PHP Notice:  Undefined index: action in /var/www/html/erpm/Controller/getFilterData.php on line 6
[12-Jan-2023 10:25:21 Asia/Kolkata] PHP Notice:  Undefined index: location_id in /var/www/html/erpm/Controller/getFilterData.php on line 63
[12-Jan-2023 10:25:21 Asia/Kolkata] PHP Notice:  Undefined index: clientid in /var/www/html/erpm/Controller/getFilterData.php on line 86
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined variable: clean_from_date in /var/www/html/erpm/View/revenue_master_report.php on line 23
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: location in /var/www/html/erpm/View/revenue_master_report.php on line 156
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: site in /var/www/html/erpm/View/revenue_master_report.php on line 157
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: capacity in /var/www/html/erpm/View/revenue_master_report.php on line 158
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: ClientName in /var/www/html/erpm/View/revenue_master_report.php on line 159
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: process in /var/www/html/erpm/View/revenue_master_report.php on line 160
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: seat in /var/www/html/erpm/View/revenue_master_report.php on line 161
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: item in /var/www/html/erpm/View/revenue_master_report.php on line 163
[12-Jan-2023 10:41:31 Asia/Kolkata] PHP Notice:  Undefined index: price in /var/www/html/erpm/View/revenue_master_report.php on line 164
